"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"abs"	"DEG_type"
"BICC1"	-2.15053390591966	4.15503984962406	-10.5972488298596	2.67450433668164e-23	6.53572445475374e-21	42.1688459179109	2.15053390591966	"Down"
"TMEM169"	-1.43462596194503	3.23594686716792	-10.5699422772245	3.35896553301517e-23	7.98034227885521e-21	41.9451806500013	1.43462596194503	"Down"
"ANPEP"	-1.97694554439746	7.71016516290727	-10.556364106985	3.76151225122429e-23	8.8143052834853e-21	41.8340832226045	1.97694554439746	"Down"
"TGFBI"	-1.86079309725158	11.3604909774436	-10.5472204040979	4.05925038519166e-23	9.38345095798494e-21	41.7593139178559	1.86079309725158	"Down"
"GPR176"	-1.67216458773784	5.34309298245614	-10.5252316515119	4.87461350384616e-23	1.11180184795723e-20	41.5796576363127	1.67216458773784	"Down"
"GREM1"	-3.47642453488372	8.27195814536341	-10.5059476006234	5.72244091813927e-23	1.28765560472499e-20	41.4222731722435	3.47642453488372	"Down"
"CCDC80"	-2.19282580866807	9.10004385964912	-10.5044069793118	5.79618154821842e-23	1.28765560472499e-20	41.4097065820334	2.19282580866807	"Down"
"DPP4"	-2.37182426004228	5.7723992481203	-10.4956363615798	6.23432965839432e-23	1.36723645046786e-20	41.3381858989784	2.37182426004228	"Down"
"ANKRD50"	1.22332666490487	9.73909323308271	10.4901305728048	6.52603395333334e-23	1.41309287095848e-20	41.293305721514	1.22332666490487	"UP"
"IQGAP2"	-1.53449080866808	6.19681679197995	-10.4788193307491	7.16854978351118e-23	1.48298783977368e-20	41.2011443568441	1.53449080866808	"Down"
"C9orf47"	-1.4986953012685	2.78027368421053	-10.4787777796968	7.17102225875909e-23	1.48298783977368e-20	41.200805912031	1.4986953012685	"Down"
"CHI3L1"	-3.27284735729387	8.28363934837093	-10.4604892643876	8.34579190382997e-23	1.69956090841566e-20	41.0519145494523	3.27284735729387	"Down"
"CLCA4"	4.03369422832982	6.12598696741855	10.4146360918342	1.2200514407677e-22	2.4553176406791e-20	40.6792607991359	4.03369422832982	"UP"
"SUSD3"	-1.65158190803383	5.35581478696742	-10.4082944093386	1.28574322989769e-22	2.55743298728254e-20	40.6277944896728	1.65158190803383	"Down"
"EMP3"	-1.67291183403806	8.39222631578947	-10.3933443145516	1.45484524560635e-22	2.86052675532669e-20	40.5065367646518	1.67291183403806	"Down"
"P2RY6"	-1.99483345665962	6.72692005012531	-10.3764714097356	1.67235880143736e-22	3.23646507645546e-20	40.3698029065987	1.99483345665962	"Down"
"C5AR1"	-1.67218881606766	7.04857568922306	-10.3756392545927	1.6838851385744e-22	3.23646507645546e-20	40.363062610015	1.67218881606766	"Down"
"PCSK5"	-1.83190259513742	4.79921378446115	-10.3638250955536	1.85629896689303e-22	3.52820556974134e-20	40.2674035411517	1.83190259513742	"Down"
"EFEMP1"	-2.71239938160677	8.33226065162907	-10.3428669365023	2.20639865783232e-22	4.14754455394282e-20	40.0978592101133	2.71239938160677	"Down"
"PMP22"	-1.71099292283298	9.42557994987469	-10.3362702995118	2.32961503591051e-22	4.28498868863281e-20	40.0445353991787	1.71099292283298	"Down"
"SPHK1"	-1.92707984672304	8.34437318295739	-10.3262177966318	2.53064838296015e-22	4.55676539357015e-20	39.963313720618	1.92707984672304	"Down"
"DRP2"	-1.36734292283298	3.76160025062657	-10.2942324650198	3.29215343066671e-22	5.74648740663109e-20	39.7051829267762	1.36734292283298	"Down"
"MMEL1"	1.91629582452431	3.75950977443609	10.2874489767973	3.48084193025569e-22	6.01447293524786e-20	39.6504975645296	1.91629582452431	"UP"
"HMOX1"	-1.56801393763214	9.71679348370927	-10.2707750105513	3.99154068481353e-22	6.82792949544203e-20	39.5161682105613	1.56801393763214	"Down"
"FAM155B"	2.3399450845666	4.55074010025063	10.2562590712008	4.49632076810611e-22	7.61525376823991e-20	39.3993270588626	2.3399450845666	"UP"
"P4HA3"	-1.87543713530655	5.64292005012531	-10.2404830388158	5.11701191313788e-22	8.581529979033e-20	39.2724518081846	1.87543713530655	"Down"
"PLCD3"	1.49389226215645	10.4564854636591	10.2381969983959	5.21374940895147e-22	8.59528049926473e-20	39.2540762322665	1.49389226215645	"UP"
"LILRB5"	-1.94385088794926	4.90007969924812	-10.2379173908837	5.22570543624185e-22	8.59528049926473e-20	39.2518288636759	1.94385088794926	"Down"
"CHST11"	-1.90148393763214	7.39957644110276	-10.2300726851596	5.57247460257793e-22	9.07835719539981e-20	39.1887909182298	1.90148393763214	"Down"
"FAM174B"	1.88656323467231	9.74480025062657	10.2210657061047	5.99888350439732e-22	9.6808397383227e-20	39.1164478863559	1.88656323467231	"UP"
"SOD3"	-1.80144781183932	8.3885388471178	-10.2177324749701	6.16477078184898e-22	9.85556719572977e-20	39.0896851469736	1.80144781183932	"Down"
"AMOTL1"	-1.14927324524314	9.81546666666667	-10.205743013051	6.80001753819741e-22	1.07704722230004e-19	38.9934629513113	1.14927324524314	"Down"
"S1PR3"	-1.62470109936575	8.3717320802005	-10.1892551356053	7.78103615139857e-22	1.21002185823476e-19	38.8612459750156	1.62470109936575	"Down"
"ROR2"	-2.27356507399577	6.76782456140351	-10.1863653769116	7.96690648716549e-22	1.22776488621129e-19	38.8380857256354	2.27356507399577	"Down"
"EGR1"	-1.57556313424947	11.261907518797	-10.1840686113289	8.11777484683752e-22	1.23984514758931e-19	38.8196808124117	1.57556313424947	"Down"
"TIMP2"	-1.6294003435518	11.5298235588972	-10.1673820154577	9.3024556918479e-22	1.40821068198894e-19	38.6860371880347	1.6294003435518	"Down"
"UNC5A"	-1.3812964217759	2.17231578947368	-10.1403576883505	1.15955629570651e-21	1.71247130883742e-19	38.4698704768276	1.3812964217759	"Down"
"TNC"	-2.1712884513742	10.0568789473684	-10.1401765326564	1.16126898062166e-21	1.71247130883742e-19	38.4684225566279	2.1712884513742	"Down"
"RASGEF1B"	-1.498688102537	5.66937293233083	-10.1370916195883	1.19082305726186e-21	1.74104437756594e-19	38.4437681522719	1.498688102537	"Down"
"SLC7A7"	-1.60871755285412	7.17711177944862	-10.1211917175505	1.35541034394962e-21	1.96488553759341e-19	38.316767166148	1.60871755285412	"Down"
"TCF7L1"	-1.29970668604652	7.65734912280702	-10.1082922827617	1.50538353442147e-21	2.11074514260767e-19	38.2138186652852	1.29970668604652	"Down"
"KLHL3"	1.24263565010571	6.64070952380952	10.1022713699879	1.5809161807567e-21	2.19863025918895e-19	38.1657931073847	1.24263565010571	"UP"
"NFIB"	-1.28860909090909	9.11437218045113	-10.1003894889828	1.6052875807313e-21	2.21049081828593e-19	38.150785821317	1.28860909090909	"Down"
"CTNNAL1"	-1.17025864164905	8.49655388471178	-10.0996254017552	1.61528909321724e-21	2.21049081828593e-19	38.1446929863575	1.17025864164905	"Down"
"PALM2-AKAP2"	-1.2357071141649	8.83288245614035	-10.0808409440657	1.88159871579232e-21	2.53438012853098e-19	37.9949911665058	1.2357071141649	"Down"
"CAMK2A"	-1.54911825052854	2.4460679197995	-10.0769868892163	1.94140605104646e-21	2.59450718040631e-19	37.964296810279	1.54911825052854	"Down"
"ATP8B2"	-1.30061914376322	7.96609398496241	-10.0653469962456	2.13373433845954e-21	2.80766612259145e-19	37.8716368271724	1.30061914376322	"Down"
"FAM26E"	-1.45691171247357	5.4886679197995	-10.0588887482396	2.24848585750363e-21	2.93607626553107e-19	37.8202529356532	1.45691171247357	"Down"
"LILRB4"	-2.20729283826639	6.51638395989975	-10.0441759381848	2.53329599530641e-21	3.28292131028118e-19	37.7032660632509	2.20729283826639	"Down"
"C1orf38"	-1.43385190803382	8.05677769423559	-10.0415168478543	2.58846596681346e-21	3.3291954006249e-19	37.6821335076521	1.43385190803382	"Down"
"GAS1"	-2.3781860359408	6.51308045112782	-10.0207695019394	3.06193997875012e-21	3.90877203555966e-19	37.5173624855169	2.3781860359408	"Down"
"ST3GAL6"	-1.45430825052854	4.86818696741855	-10.0141384177781	3.23068926914762e-21	4.09364226948438e-19	37.4647425422079	1.45430825052854	"Down"
"LOC284837"	1.97311755813954	7.60912606516291	10.0019154888881	3.56629556704104e-21	4.485665586015e-19	37.3678037152177	1.97311755813954	"UP"
"ARL4C"	-1.18134793868922	9.85334185463659	-9.97958745180546	4.2711603890645e-21	5.29438185618387e-19	37.1909045523285	1.18134793868922	"Down"
"SLC16A1"	-2.07494997885835	8.97165839598997	-9.97381495393826	4.47486221956692e-21	5.50697792287135e-19	37.1452089718657	2.07494997885835	"Down"
"LPA"	2.07500785940803	1.86173533834586	9.97267009714843	4.51639392035709e-21	5.51838817154488e-19	37.1361480664017	2.07500785940803	"UP"
"MFI2"	-2.28860710359408	6.58546040100251	-9.96911577990004	4.64778674042211e-21	5.63865531784828e-19	37.1080215818678	2.28860710359408	"Down"
"ZNF469"	-1.65629423361522	6.94871754385965	-9.96085795844742	4.96788702210798e-21	5.98455460564642e-19	37.0426978698639	1.65629423361522	"Down"
"LOXL3"	-1.13784406448203	6.0315656641604	-9.9525406817168	5.31240690761406e-21	6.35482745186336e-19	36.9769365899795	1.13784406448203	"Down"
"PNMA1"	-1.08710332980972	9.0243701754386	-9.9482542055189	5.49911957952868e-21	6.53249580051511e-19	36.9430580384225	1.08710332980972	"Down"
"TMEM158"	-1.6521165539112	7.3332030075188	-9.9453939507664	5.62731718315093e-21	6.63868191275722e-19	36.9204566223135	1.6521165539112	"Down"
"MN1"	-1.68060233615222	5.86792581453634	-9.94411771092625	5.68547172321043e-21	6.65019441826782e-19	36.910373173595	1.68060233615222	"Down"
"ADAMTS12"	-2.15962849894292	4.90152080200501	-9.94347836860632	5.71482859514422e-21	6.65019441826782e-19	36.9053220828701	2.15962849894292	"Down"
"IL2RA"	-1.98749158562368	5.11470476190476	-9.9347080588373	6.1330594479937e-21	7.0886564133365e-19	36.8360523730662	1.98749158562368	"Down"
"FAM20C"	-1.8211369820296	8.46261578947368	-9.93379916640456	6.17810235526048e-21	7.0927932140326e-19	36.8288758512614	1.8211369820296	"Down"
"HDAC9"	-1.69022975687104	5.57629523809524	-9.92954891828765	6.39313313738165e-21	7.29072902987003e-19	36.7953215579775	1.69022975687104	"Down"
"TWIST1"	-2.0067930179704	6.09657468671679	-9.9186823792403	6.97727214264347e-21	7.90418657430855e-19	36.7095730747243	2.0067930179704	"Down"
"SLC31A2"	-1.13279177061311	8.42546616541353	-9.91731534879503	7.05441283571054e-21	7.93508244535727e-19	36.6987897555081	1.13279177061311	"Down"
"PHF19"	-1.00328282241015	9.11862205513784	-9.91642331224068	7.10520576034767e-21	7.93508244535727e-19	36.6917537335919	1.00328282241015	"Down"
"RAB3IL1"	-1.51164354651162	6.80325162907268	-9.91575133445745	7.14370803568935e-21	7.93508244535727e-19	36.6864536972089	1.51164354651162	"Down"
"NRP2"	-1.64178592494714	8.64824185463659	-9.90867321608261	7.56205767836345e-21	8.34558442877969e-19	36.6306401478302	1.64178592494714	"Down"
"AKAP12"	-1.74663515327696	8.8973	-9.87699194425392	9.7530747283163e-21	1.04753931921951e-18	36.3811161176883	1.74663515327696	"Down"
"ANKRD29"	-1.81727338794926	3.59319022556391	-9.87641789983066	9.79809956010302e-21	1.04753931921951e-18	36.3765993489226	1.81727338794926	"Down"
"ITGAX"	-1.60801626849894	7.37047443609023	-9.87526479188234	9.88916727454948e-21	1.05070866707108e-18	36.3675267986108	1.60801626849894	"Down"
"LOC284233"	2.51025933932347	3.63241729323308	9.86983979579666	1.0329012451189e-20	1.09066720364221e-18	36.3248520027247	2.51025933932347	"UP"
"RASSF4"	-1.28963478858351	8.50159649122807	-9.84997456124925	1.21118667131907e-20	1.27107725150822e-18	36.1687066308316	1.28963478858351	"Down"
"C1R"	-1.48989900105708	11.7195989974937	-9.84676165322382	1.24276127529e-20	1.2962606326287e-18	36.1434703185284	1.48989900105708	"Down"
"PTK6"	1.55084343023256	9.87489197994987	9.82543150817054	1.47412203438242e-20	1.51905611567143e-18	35.9760558078272	1.55084343023256	"UP"
"SFRP2"	-3.93887321353066	8.44417894736842	-9.82292294593703	1.50399778383637e-20	1.54056204133562e-18	35.9563812663395	3.93887321353066	"Down"
"HS3ST3B1"	-1.33755891649049	2.21591453634085	-9.81660976404285	1.58187030167802e-20	1.61068293931573e-18	35.9068807696498	1.33755891649049	"Down"
"DOCK4"	-1.11536397991544	7.01768070175439	-9.81195444486475	1.64184428441021e-20	1.66185729758113e-18	35.870391660924	1.11536397991544	"Down"
"SNAI1"	-1.3293120243129	6.02712807017544	-9.80905966520016	1.68026969716385e-20	1.68476910343775e-18	35.8477072396291	1.3293120243129	"Down"
"VEGFA"	1.07615423890064	11.8628205513784	9.80876891049188	1.68417816373117e-20	1.68476910343775e-18	35.8454290175517	1.07615423890064	"UP"
"BEND6"	-1.47803927589852	5.49955588972431	-9.79876745196653	1.8242583814402e-20	1.81008646506565e-18	35.7670871460923	1.47803927589852	"Down"
"TFF1"	3.53076628964059	4.09574536340852	9.79804922157589	1.83475177555439e-20	1.81008646506565e-18	35.7614630879794	3.53076628964059	"UP"
"P2RX7"	-1.4378709513742	3.53983909774436	-9.79761013546413	1.84119633416008e-20	1.81008646506565e-18	35.7580249753317	1.4378709513742	"Down"
"MTHFD2"	-1.06266650105708	10.1417781954887	-9.79315793024262	1.9078244353813e-20	1.86487113095043e-18	35.7231688159657	1.06266650105708	"Down"
"TRIM2"	1.10546712473572	9.13807919799499	9.78889263964717	1.97389779963707e-20	1.9181879165801e-18	35.6897850597778	1.10546712473572	"UP"
"RAB42"	-1.21050174947146	4.29313333333333	-9.78773943961432	1.99214865513217e-20	1.9181879165801e-18	35.6807606676131	1.21050174947146	"Down"
"CCR1"	-1.50805329809725	6.61733809523809	-9.78749680834402	1.99600987461276e-20	1.9181879165801e-18	35.6788620338219	1.50805329809725	"Down"
"ANK2"	-2.07731283298097	5.19260827067669	-9.77897068781075	2.1365140161624e-20	2.04174350617173e-18	35.6121618205959	2.07731283298097	"Down"
"TPM1"	-1.10175474101479	11.5809601503759	-9.77202093091505	2.25826738498268e-20	2.14610677152854e-18	35.5578198139015	1.10175474101479	"Down"
"IL24"	-2.12497030655391	3.79121278195489	-9.76409480621354	2.40554821754443e-20	2.26095097853379e-18	35.4958721307012	2.12497030655391	"Down"
"PXDN"	-1.51188658033827	9.84584661654135	-9.75126501922117	2.66440453898862e-20	2.49056306251035e-18	35.3956643634397	1.51188658033827	"Down"
"PLA2G4C"	-1.39443446088795	5.42780100250627	-9.72753991215007	3.21801482958118e-20	2.99170443884868e-18	35.2105707019715	1.39443446088795	"Down"
"FN1"	-2.16214213002114	14.0813315789474	-9.72521740496665	3.27798991656922e-20	3.02031431746343e-18	35.1924663014867	2.16214213002114	"Down"
"HK3"	-1.97038858879493	5.59118295739348	-9.71335845577214	3.60195651905651e-20	3.29492343395618e-18	35.1000648409512	1.97038858879493	"Down"
"SDS"	-1.71347343023256	6.22544035087719	-9.70021348945093	3.99827818183214e-20	3.61875907822331e-18	34.9977240923464	1.71347343023256	"Down"
"MPP1"	-1.47579619978857	7.45639473684211	-9.69168033743375	4.27841146281552e-20	3.79261782636968e-18	34.9313344898885	1.47579619978857	"Down"
"C1orf126"	1.64966797040169	7.24815714285714	9.69166136415243	4.2790555389299e-20	3.79261782636968e-18	34.9311869141103	1.64966797040169	"UP"
"DZIP1L"	-1.36073684460888	5.99526842105263	-9.68385845110358	4.55226003083545e-20	4.01396701481811e-18	34.8705102896677	1.36073684460888	"Down"
"FAM101A"	-2.21150595137421	4.18127268170426	-9.68310544990838	4.57952336968658e-20	4.01729880830045e-18	34.8646564327172	2.21150595137421	"Down"
"CCR8"	-1.26070053911205	2.21357794486216	-9.68049613301215	4.67525626153993e-20	4.08035375560725e-18	34.8443736853951	1.26070053911205	"Down"
"FXYD6"	-1.83556734672304	7.63407518796993	-9.6773976593598	4.79151745795026e-20	4.16059378861407e-18	34.8202930017729	1.83556734672304	"Down"
"LTBP1"	-1.0962334883721	10.6341436090226	-9.67520063903134	4.87568786752447e-20	4.19113149054641e-18	34.803221104358	1.0962334883721	"Down"
"CAV1"	-1.5139445243129	10.7345899749373	-9.66807349474762	5.1589653470382e-20	4.41246306132177e-18	34.7478562555135	1.5139445243129	"Down"
"CERCAM"	-1.34391967230443	10.4254984962406	-9.66190627474944	5.41722846516432e-20	4.59545217160571e-18	34.6999685901665	1.34391967230443	"Down"
"MT2A"	-1.84053605179704	10.851420802005	-9.65695867946671	5.63365735949246e-20	4.74725826559005e-18	34.6615648012751	1.84053605179704	"Down"
"KIAA1462"	-1.18245233086681	8.73735037593985	-9.6516652391074	5.87471971084598e-20	4.92612526341821e-18	34.6204899891595	1.18245233086681	"Down"
"C1S"	-1.88234292811839	11.5259030075188	-9.63423548809347	6.74312344007337e-20	5.62672534467781e-18	34.4853411508153	1.88234292811839	"Down"
"PADI2"	-1.57262330866808	6.23907293233083	-9.63202030427822	6.86224058721354e-20	5.6983246351881e-18	34.4681756361455	1.57262330866808	"Down"
"FCGR2A"	-1.6519856448203	8.86192105263158	-9.62611918550008	7.18984626220955e-20	5.91295721929599e-18	34.4224596604351	1.6519856448203	"Down"
"MICAL2"	-1.04610382135306	10.1706458646617	-9.62537518833315	7.23223616362137e-20	5.91858079259752e-18	34.4166971464252	1.04610382135306	"Down"
"PDLIM3"	-1.98284688160677	8.23551303258145	-9.6247316759429	7.26910076229075e-20	5.91858079259752e-18	34.411713144359	1.98284688160677	"Down"
"IGF2BP3"	-2.62261825581395	6.31698446115288	-9.62375530882896	7.32538973643298e-20	5.91858079259752e-18	34.4041515778436	2.62261825581395	"Down"
"ANXA6"	-1.41493114693447	10.0720323308271	-9.62358794183621	7.33508200649289e-20	5.91858079259752e-18	34.4028554362712	1.41493114693447	"Down"
"LILRB3"	-1.61599695031713	5.43803684210526	-9.61709257451175	7.72122107659789e-20	6.14321896447831e-18	34.352564113862	1.61599695031713	"Down"
"MMP9"	-2.6286887896406	8.38896365914787	-9.60674809936757	8.3782204561107e-20	6.63508514454767e-18	34.2725140401903	2.6286887896406	"Down"
"GNB4"	-1.33646480972516	8.61296215538847	-9.58833046130055	9.68810896345071e-20	7.63708718565842e-18	34.1301228755669	1.33646480972516	"Down"
"SPON2"	-1.44527590380549	9.43120877192982	-9.57273645970356	1.09546079112776e-19	8.59584967570248e-18	34.0096949372861	1.44527590380549	"Down"
"OLFML2B"	-1.63421531183932	8.54037844611529	-9.56667993173371	1.14896334421224e-19	8.97450546397011e-18	33.9629550825082	1.63421531183932	"Down"
"FABP6"	2.50446815010571	6.18703383458647	9.5627493967921	1.18506385397836e-19	9.21012727250253e-18	33.9326319632077	2.50446815010571	"UP"
