"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"ANXA10"	5.41833968287526	4.59875288220551	13.6054812682352	6.29902196056819e-35	1.07751069657479e-30	68.4777034514129
"EPHB6"	2.29539221987316	9.75250977443609	12.5125086091702	1.48611547637543e-30	1.2710745669439e-26	58.5796745049053
"MMD"	-1.55645894820296	8.23719674185464	-12.3770496278074	5.0527606827376e-30	2.79571203667709e-26	57.3768717046689
"D4S234E"	3.12556476744186	6.90509749373434	12.3395590819565	7.08240748636225e-30	2.79571203667709e-26	57.0449897498489
"PLXNB3"	1.93773410147992	8.57999573934837	12.3236602278537	8.17172932502364e-30	2.79571203667709e-26	56.9043808293356
"SURF4"	-0.638124286469338	12.3513441102757	-12.2225716377481	2.02555994848881e-29	5.77487141314161e-26	56.0122476458568
"BCAT1"	-2.43860761627907	8.52017869674185	-12.1547563642998	3.71711876283491e-29	8.37513407148812e-26	55.415613393723
"TUBB2A"	-1.68570283826638	9.56333233082707	-12.1405655911915	4.21984154357727e-29	8.37513407148812e-26	55.290954409527
"GFPT2"	-3.00713991014799	6.39670551378446	-12.1244836581578	4.87183432831018e-29	8.37513407148812e-26	55.1497627004893
"ZBED2"	-2.70885238900634	4.91676441102757	-12.1239291463323	4.89602132087462e-29	8.37513407148812e-26	55.1448958733109
"C10orf58"	1.21695692389006	11.3018213032581	11.9537033999383	2.22834697640575e-28	3.46528212530879e-25	53.6557167110911
"SSH3"	1.31839869450318	11.4149390977444	11.940857374947	2.49733008756512e-28	3.55994403982408e-25	53.5437335721311
"TNFAIP8L3"	-1.92040285412262	5.38045839598997	-11.8840393013584	4.13132008028948e-28	5.43618163795629e-25	53.0491098121894
"DEPDC7"	-2.23714234143763	5.02290250626566	-11.8175156783996	7.43749825149074e-28	9.08756036357147e-25	52.471413915656
"FSD1L"	-1.76384397463002	4.0695984962406	-11.7780249294603	1.05362512944668e-27	1.20155409762099e-24	52.1292044482972
"SPOCD1"	2.59345643234673	8.14258847117794	11.7698624253596	1.1321936975978e-27	1.21045658694425e-24	52.0585401677699
"UBAC1"	-0.701736400634246	9.88951854636591	-11.6979294751392	2.13174344776953e-27	2.14503549514974e-24	51.4368239425695
"C9orf21"	-1.26649724630021	6.37830651629073	-11.4301167501335	2.21173405974343e-26	2.10188460144284e-23	49.1385745941538
"CYP26B1"	-1.97850230443975	5.64180551378446	-11.4002988125451	2.86509793307883e-26	2.57949290753929e-23	48.8843308422158
"CSF2RB"	-1.79485674418605	7.22426541353383	-11.3826131279439	3.33996224243797e-26	2.80619004952624e-23	48.7336913800533
"NAV2"	-1.4565309883721	9.00631604010025	-11.3790408953628	3.44498953817673e-26	2.80619004952624e-23	48.7032788975284
"TCP11L1"	-1.0685135782241	7.17274110275689	-11.2734793631995	8.58188974323012e-26	6.67280936125884e-23	47.8067640841794
"BACH2"	-1.86797888477801	4.64074260651629	-11.2414160601982	1.13140063051519e-25	8.41466921112734e-23	47.5353026177419
"CCL18"	-3.13474985200846	6.83264511278195	-11.205953220963	1.53523571088934e-25	1.09423925293638e-22	47.2355230863298
"SH3KBP1"	-1.48333727272727	9.62257994987469	-11.1648837311442	2.18486740984601e-25	1.49497367651303e-22	46.8889612177638
"PLEKHH3"	0.87451225158561	10.0093927318296	11.1247095705751	3.08358651439329e-25	2.02876272750814e-22	46.5505948804621
"CBR4"	0.79591072410148	8.54775764411028	11.1087427139521	3.53548391990163e-25	2.1646610311414e-22	46.416291078382
"CDC25B"	-1.15967700317125	10.4817654135338	-11.1084870644185	3.54323096410377e-25	2.1646610311414e-22	46.4141415257044
"FANCC"	-0.877557103594072	7.90141604010025	-11.069635250249	4.94007383506608e-25	2.91396217319449e-22	46.087769287316
"WNT7B"	1.54557060253699	10.1776270676692	11.0382476856247	6.45872957469308e-25	3.68276760348999e-22	45.8245394050775
"CNN3"	-1.15818652748415	11.1668749373434	-11.0258465603678	7.17950614134135e-25	3.86167540214228e-22	45.7206468592341
"KIAA1755"	-2.37675795983087	5.03288195488722	-11.0251222804042	7.22399233418408e-25	3.86167540214228e-22	45.7145809882672
"SLC30A4"	-1.59630725158563	4.48588671679198	-11.0186346657407	7.63489504482779e-25	3.88786883358016e-22	45.6602563819285
"HS3ST3A1"	-2.16934161733615	3.76214411027569	-11.0172197352565	7.72755409457065e-25	3.88786883358016e-22	45.6484105862568
"ALPK2"	-2.32355692917547	4.88223258145363	-11.0017427654183	8.81708263625478e-25	4.30928615930784e-22	45.5188900481563
"LILRA6"	-2.04385278541226	4.86418596491228	-10.9914125658508	9.62798458153728e-25	4.57489734032713e-22	45.432494508567
"CLIC4"	-1.46673201374207	10.9815	-10.964348967958	1.21213892386212e-24	5.48989684371026e-22	45.2063555784381
"SLITRK6"	2.79387718816067	8.85465463659148	10.9636322655432	1.21954916439255e-24	5.48989684371026e-22	45.200370966448
"GLIPR2"	-1.57477989957716	8.04686315789474	-10.9315551093316	1.60167148284006e-24	7.02517753473387e-22	44.9327339999914
"PRRX1"	-2.35797010042284	7.80047844611529	-10.9251134017765	1.69169982476488e-24	7.23455430060703e-22	44.8790379233178
"FAP"	-2.58298137420719	7.46146040100251	-10.9166069351226	1.818337248201e-24	7.58645779700641e-22	44.808156629425
"STX2"	-1.34881591437632	6.93589072681704	-10.9087679775433	1.94336353844891e-24	7.91504206873977e-22	44.7428636523573
"SEMA4B"	1.28321683403805	12.0254313283208	10.9041294623022	2.02133236216059e-24	8.04114218305094e-22	44.7042399494429
"ODZ3"	-2.70117254756871	5.23480501253133	-10.8996215158228	2.10008492313208e-24	8.08344622857576e-22	44.6667119091348
"PDCD1LG2"	-2.18403984143763	4.96165989974937	-10.8981483374985	2.12647655960429e-24	8.08344622857576e-22	44.6544497072556
"IL10"	-1.63774358879492	3.31241127819549	-10.8815584087869	2.44744194654345e-24	8.99087264507095e-22	44.5164226900713
"ARSI"	-2.46146733615222	5.89041278195489	-10.8804604437014	2.47030874733038e-24	8.99087264507095e-22	44.5072916911436
"BTBD16"	3.87727065010571	6.17560476190476	10.8488521960365	3.22796616937366e-24	1.13730060185909e-21	44.2446413204264
"PLA2G7"	-1.74885928646934	6.52901027568922	-10.8468714889975	3.28248845145916e-24	1.13730060185909e-21	44.2281962707522
"SLFN11"	-1.59648222515856	8.23327393483709	-10.8434823313619	3.37791254898722e-24	1.13730060185909e-21	44.2000611624751
"POSTN"	-3.40907708773785	10.2624814536341	-10.8430333382859	3.39075942329086e-24	1.13730060185909e-21	44.1963342009986
"MME"	-2.59414432346723	8.6535664160401	-10.8405985563217	3.46127556996758e-24	1.13862653653587e-21	44.1761252348931
"PLS3"	-1.05526983615222	11.7662120300752	-10.838053498859	3.53654436313688e-24	1.14143637501546e-21	44.1550035945674
"SNX1"	0.447368440803384	11.080773433584	10.8238710655917	3.98677425869308e-24	1.26292149017044e-21	44.0373516048269
"ADAM19"	-1.99710608879494	8.57193759398496	-10.7725043751714	6.14905308867336e-24	1.91246731154266e-21	43.6119340505204
"FGFR3"	2.75883637420719	10.7861052631579	10.7616540596658	6.73749118346702e-24	2.05806293186405e-21	43.5222130940397
"RAPGEF1"	-0.726656596194495	10.3992145363409	-10.7375166335478	8.25495990569281e-24	2.47735691485581e-21	43.3227986905533
"ICAM1"	-1.74482460887948	10.1219481203008	-10.6882887688138	1.24824936500037e-23	3.68147476512006e-21	42.9168581434318
"CDK5RAP2"	-0.669675597251587	9.85404260651629	-10.6828964649246	1.30600784113014e-23	3.76065551881747e-21	42.8724547562118
"CTSL1"	-1.31022274841436	11.1309137844612	-10.6817102966206	1.31906542224394e-23	3.76065551881747e-21	42.8626888095912
"FUT4"	-1.13708516913318	7.23275137844611	-10.6671223509767	1.49066790512887e-23	4.17997878094964e-21	42.7426324498084
"NTRK1"	-1.32521947145877	2.04465238095238	-10.6651889909149	1.51501627743995e-23	4.17997878094964e-21	42.7267280185508
"BAG2"	-1.43073282241015	7.62425037593985	-10.6403081998217	1.86598611274545e-23	5.06659657851169e-21	42.5221931001964
"ASAM"	-2.2345427167019	5.73144486215539	-10.6383733561561	1.89644653706944e-23	5.06884600986091e-21	42.5062986195784
"SETX"	-0.569733937632138	10.3528010025063	-10.6297246362762	2.03875912701375e-23	5.36538671179956e-21	42.4352701442508
"HTRA3"	-2.27768735729387	9.10151679197995	-10.6274213669074	2.07841638134508e-23	5.38687736655893e-21	42.4163597186705
"SYTL1"	1.32676894820296	10.7223917293233	10.6214785049133	2.18431607524061e-23	5.57685235568147e-21	42.3675778226278
"TSPAN14"	0.671869513742072	11.9577949874687	10.608580931637	2.43295179336371e-23	6.12030490842347e-21	42.2617604430097
"PLEKHA4"	-1.53037869450317	8.27224060150376	-10.6007241814445	2.59799443549458e-23	6.44076707443048e-21	42.1973352525485
"BICC1"	-2.15053390591966	4.15503984962406	-10.5972488298596	2.67450433668164e-23	6.53572445475374e-21	42.1688459179109
"NUP188"	-0.616203049682875	10.5041664160401	-10.5760921463461	3.19102240491811e-23	7.68811679697594e-21	41.9955255185457
"TMEM169"	-1.43462596194503	3.23594686716792	-10.5699422772245	3.35896553301517e-23	7.98034227885521e-21	41.9451806500013
"ANPEP"	-1.97694554439746	7.71016516290727	-10.556364106985	3.76151225122429e-23	8.8143052834853e-21	41.8340832226045
"TGFBI"	-1.86079309725158	11.3604909774436	-10.5472204040979	4.05925038519166e-23	9.38345095798494e-21	41.7593139178559
"GPR176"	-1.67216458773784	5.34309298245614	-10.5252316515119	4.87461350384616e-23	1.11180184795723e-20	41.5796576363127
"GREM1"	-3.47642453488372	8.27195814536341	-10.5059476006234	5.72244091813927e-23	1.28765560472499e-20	41.4222731722435
"CCDC80"	-2.19282580866807	9.10004385964912	-10.5044069793118	5.79618154821842e-23	1.28765560472499e-20	41.4097065820334
"DPP4"	-2.37182426004228	5.7723992481203	-10.4956363615798	6.23432965839432e-23	1.36723645046786e-20	41.3381858989784
"ANKRD50"	1.22332666490487	9.73909323308271	10.4901305728048	6.52603395333334e-23	1.41309287095848e-20	41.293305721514
"FBXO10"	-0.915854244186044	7.1481686716792	-10.4885527417628	6.61210221265876e-23	1.41383275562176e-20	41.2804465545959
"IQGAP2"	-1.53449080866808	6.19681679197995	-10.4788193307491	7.16854978351118e-23	1.48298783977368e-20	41.2011443568441
"C9orf47"	-1.4986953012685	2.78027368421053	-10.4787777796968	7.17102225875909e-23	1.48298783977368e-20	41.200805912031
"SLC25A25"	-0.757408726215649	8.95259674185464	-10.4783654562256	7.1956033380811e-23	1.48298783977368e-20	41.1974474644008
"CHI3L1"	-3.27284735729387	8.28363934837093	-10.4604892643876	8.34579190382997e-23	1.69956090841566e-20	41.0519145494523
"CLCA4"	4.03369422832982	6.12598696741855	10.4146360918342	1.2200514407677e-22	2.4553176406791e-20	40.6792607991359
"SUSD3"	-1.65158190803383	5.35581478696742	-10.4082944093386	1.28574322989769e-22	2.55743298728254e-20	40.6277944896728
"EMP3"	-1.67291183403806	8.39222631578947	-10.3933443145516	1.45484524560635e-22	2.86052675532669e-20	40.5065367646518
"P2RY6"	-1.99483345665962	6.72692005012531	-10.3764714097356	1.67235880143736e-22	3.23646507645546e-20	40.3698029065987
"C5AR1"	-1.67218881606766	7.04857568922306	-10.3756392545927	1.6838851385744e-22	3.23646507645546e-20	40.363062610015
"PCSK5"	-1.83190259513742	4.79921378446115	-10.3638250955536	1.85629896689303e-22	3.52820556974134e-20	40.2674035411517
"EFEMP1"	-2.71239938160677	8.33226065162907	-10.3428669365023	2.20639865783232e-22	4.14754455394282e-20	40.0978592101133
"ARRB2"	-0.927722267441856	9.3325007518797	-10.3393799620587	2.27070158097998e-22	4.22202404828734e-20	40.0696698748464
"PMP22"	-1.71099292283298	9.42557994987469	-10.3362702995118	2.32961503591051e-22	4.28498868863281e-20	40.0445353991787
"CIZ1"	-0.491907563424947	10.9542934837093	-10.3321953166582	2.40912106484244e-22	4.38408775906327e-20	40.0116050983809
"SPHK1"	-1.92707984672304	8.34437318295739	-10.3262177966318	2.53064838296015e-22	4.55676539357015e-20	39.963313720618
"DENND5A"	-0.721455702959826	9.52605964912281	-10.3203732400178	2.65535654599307e-22	4.73151344539141e-20	39.9161120633487
"GAPVD1"	-0.510188668076106	9.74055463659148	-10.2958139012335	3.24964585889488e-22	5.73076722291297e-20	39.7179347273486
"DRP2"	-1.36734292283298	3.76160025062657	-10.2942324650198	3.29215343066671e-22	5.74648740663109e-20	39.7051829267762
"MMEL1"	1.91629582452431	3.75950977443609	10.2874489767973	3.48084193025569e-22	6.01447293524786e-20	39.6504975645296
"HMOX1"	-1.56801393763214	9.71679348370927	-10.2707750105513	3.99154068481353e-22	6.82792949544203e-20	39.5161682105613
"FAM155B"	2.3399450845666	4.55074010025063	10.2562590712008	4.49632076810611e-22	7.61525376823991e-20	39.3993270588626
"P4HA3"	-1.87543713530655	5.64292005012531	-10.2404830388158	5.11701191313788e-22	8.581529979033e-20	39.2724518081846
"PLCD3"	1.49389226215645	10.4564854636591	10.2381969983959	5.21374940895147e-22	8.59528049926473e-20	39.2540762322665
"LILRB5"	-1.94385088794926	4.90007969924812	-10.2379173908837	5.22570543624185e-22	8.59528049926473e-20	39.2518288636759
"CHST11"	-1.90148393763214	7.39957644110276	-10.2300726851596	5.57247460257793e-22	9.07835719539981e-20	39.1887909182298
"FAM174B"	1.88656323467231	9.74480025062657	10.2210657061047	5.99888350439732e-22	9.6808397383227e-20	39.1164478863559
"SOD3"	-1.80144781183932	8.3885388471178	-10.2177324749701	6.16477078184898e-22	9.85556719572977e-20	39.0896851469736
"AMOTL1"	-1.14927324524314	9.81546666666667	-10.205743013051	6.80001753819741e-22	1.07704722230004e-19	38.9934629513113
"GLT25D1"	-0.639301886892168	11.6462812030075	-10.1937135082687	7.5026858927362e-22	1.17743986129491e-19	38.8969855522511
"S1PR3"	-1.62470109936575	8.3717320802005	-10.1892551356053	7.78103615139857e-22	1.21002185823476e-19	38.8612459750156
"ROR2"	-2.27356507399577	6.76782456140351	-10.1863653769116	7.96690648716549e-22	1.22776488621129e-19	38.8380857256354
"EGR1"	-1.57556313424947	11.261907518797	-10.1840686113289	8.11777484683752e-22	1.23984514758931e-19	38.8196808124117
